Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
L04 - MACH DIEN - DIEN TU (TN),2022/09/23,13:00,2022/09/23,17:50,False,,H6-601,True
L04 - MACH DIEN - DIEN TU (TN),2022/10/07,13:00,2022/10/07,17:50,False,,H6-601,True
L04 - MACH DIEN - DIEN TU (TN),2022/11/04,13:00,2022/11/04,17:50,False,,H6-601,True
L04 - MACH DIEN - DIEN TU (TN),2022/11/18,13:00,2022/11/18,17:50,False,,H6-601,True
L04 - MACH DIEN - DIEN TU (TN),2022/12/02,13:00,2022/12/02,17:50,False,,H6-601,True
L04 - MACH DIEN - DIEN TU (TN),2022/12/16,13:00,2022/12/16,17:50,False,,H6-601,True
L02 - PT UD INTER.OF THINGS(TN,2022/09/28,13:00,2022/09/28,17:50,False,,H6-601,True
L02 - PT UD INTER.OF THINGS(TN,2022/10/12,13:00,2022/10/12,17:50,False,,H6-601,True
L02 - PT UD INTER.OF THINGS(TN,2022/10/26,13:00,2022/10/26,17:50,False,,H6-601,True
L02 - PT UD INTER.OF THINGS(TN,2022/11/09,13:00,2022/11/09,17:50,False,,H6-601,True
L02 - PT UD INTER.OF THINGS(TN,2022/11/23,13:00,2022/11/23,17:50,False,,H6-601,True
L02 - PT UD INTER.OF THINGS(TN,2022/12/07,13:00,2022/12/07,17:50,False,,H6-601,True
L03 - MACH DIEN - DIEN TU (TN),2022/09/22,13:00,2022/09/22,17:50,False,,H6-601,True
L03 - MACH DIEN - DIEN TU (TN),2022/10/06,13:00,2022/10/06,17:50,False,,H6-601,True
L03 - MACH DIEN - DIEN TU (TN),2022/11/03,13:00,2022/11/03,17:50,False,,H6-601,True
L03 - MACH DIEN - DIEN TU (TN),2022/11/17,13:00,2022/11/17,17:50,False,,H6-601,True
L03 - MACH DIEN - DIEN TU (TN),2022/12/01,13:00,2022/12/01,17:50,False,,H6-601,True
L03 - MACH DIEN - DIEN TU (TN),2022/12/15,13:00,2022/12/15,17:50,False,,H6-601,True
L07 - HE THONG SO (TN),2022/11/19,13:00,2022/11/19,17:50,False,,H6-605,True
L07 - HE THONG SO (TN),2022/11/26,13:00,2022/11/26,17:50,False,,H6-605,True
L07 - HE THONG SO (TN),2022/12/03,13:00,2022/12/03,17:50,False,,H6-605,True
L07 - HE THONG SO (TN),2022/12/10,13:00,2022/12/10,17:50,False,,H6-605,True
L07 - HE THONG SO (TN),2022/12/17,13:00,2022/12/17,17:50,False,,H6-605,True
L07 - HE THONG SO (TN),2022/12/24,13:00,2022/12/24,17:50,False,,H6-605,True
L01 - MACH DIEN - DIEN TU (TN),2022/09/21,7:00,2022/09/21,11:50,False,,H6-601,True
L01 - MACH DIEN - DIEN TU (TN),2022/10/05,7:00,2022/10/05,11:50,False,,H6-601,True
L01 - MACH DIEN - DIEN TU (TN),2022/11/02,7:00,2022/11/02,11:50,False,,H6-601,True
L01 - MACH DIEN - DIEN TU (TN),2022/11/16,7:00,2022/11/16,11:50,False,,H6-601,True
L01 - MACH DIEN - DIEN TU (TN),2022/11/30,7:00,2022/11/30,11:50,False,,H6-601,True
L01 - MACH DIEN - DIEN TU (TN),2022/12/14,7:00,2022/12/14,11:50,False,,H6-601,True
L02 - MACH DIEN - DIEN TU (TN),2022/09/29,7:00,2022/09/29,11:50,False,,H6-601,True
L02 - MACH DIEN - DIEN TU (TN),2022/10/13,7:00,2022/10/13,11:50,False,,H6-601,True
L02 - MACH DIEN - DIEN TU (TN),2022/10/27,7:00,2022/10/27,11:50,False,,H6-601,True
L02 - MACH DIEN - DIEN TU (TN),2022/11/10,7:00,2022/11/10,11:50,False,,H6-601,True
L02 - MACH DIEN - DIEN TU (TN),2022/11/24,7:00,2022/11/24,11:50,False,,H6-601,True
L02 - MACH DIEN - DIEN TU (TN),2022/12/08,7:00,2022/12/08,11:50,False,,H6-601,True
L01 - HE THONG SO (TN),2022/11/19,7:00,2022/11/19,11:50,False,,H6-605,True
L01 - HE THONG SO (TN),2022/11/26,7:00,2022/11/26,11:50,False,,H6-605,True
L01 - HE THONG SO (TN),2022/12/03,7:00,2022/12/03,11:50,False,,H6-605,True
L01 - HE THONG SO (TN),2022/12/10,7:00,2022/12/10,11:50,False,,H6-605,True
L01 - HE THONG SO (TN),2022/12/17,7:00,2022/12/17,11:50,False,,H6-605,True
L01 - HE THONG SO (TN),2022/12/24,7:00,2022/12/24,11:50,False,,H6-605,True
L01 - PT UD INTER.OF THINGS(TN,2022/09/30,7:00,2022/09/30,11:50,False,,H6-601,True
L01 - PT UD INTER.OF THINGS(TN,2022/10/14,7:00,2022/10/14,11:50,False,,H6-601,True
L01 - PT UD INTER.OF THINGS(TN,2022/10/28,7:00,2022/10/28,11:50,False,,H6-601,True
L01 - PT UD INTER.OF THINGS(TN,2022/11/11,7:00,2022/11/11,11:50,False,,H6-601,True
L01 - PT UD INTER.OF THINGS(TN,2022/11/25,7:00,2022/11/25,11:50,False,,H6-601,True
L01 - PT UD INTER.OF THINGS(TN,2022/12/09,7:00,2022/12/09,11:50,False,,H6-601,True
L03 - PT UD INTER.OF THINGS(TN,2022/09/26,7:00,2022/09/26,11:50,False,,H6-601,True
L03 - PT UD INTER.OF THINGS(TN,2022/10/10,7:00,2022/10/10,11:50,False,,H6-601,True
L03 - PT UD INTER.OF THINGS(TN,2022/10/24,7:00,2022/10/24,11:50,False,,H6-601,True
